,Title,Author,Story Summary,chapter Amount
545,Follow the Stars,FisherSticksSix," After fleeing from the universe's core to investigate an increasingly dangerous force, Kronii finds herself in a world much more different than she could have possibly imagined. However, when she finally finds the source of the disturbance, things become complicated quickly. Not only will she need to confront a threat to the stability of the universe and hide from the council that have come looking for her, but she will also need to confront the seed of mortality that has been planted in her soul.    ",1
546,I Love You At 3AM,AphelionLies," Do you know what's the best hour of the day? It's 3am. You know what's best in that hour? You're half asleep and you like me...you talk to me, and you confessed to me. You're not shy at 3am. You're not mad at 3am. You talk to me at 3am. I get to know more about you at 3am. I get to fall in love with you again and again at 3am...I fall in love with you even deeper at 3am.    ",12
547,As Bright as the Stars,TheAncientBozo, AmeSame drought posting. Just pretend it's still Christmas.    ,1
548,One Shot HololiveEn Smuts,LaxyReed, Wah    ,2
549,One Shot HololiveEn Smuts,LaxyReed, Wah    ,2
550,Among the Myths,Meowlordfur," Using her watch's ability to its fullest potential, Amelia Watson lived a luxurious life - a nice mansion with enough staff to run a small town, enough money to buy out several small countries, and the influence to do essentially whatever she wanted.That being said, joining Hololive certainly was NOT part of her plans. What even was a Hololive anyway?! An IDOL agency? Not only that, but an agency that apparently hired weird people dressed up as cats, dogs, and dragons? None of that stuff is really real, of course... Right?Alternatively: Amelia learns that she's a small fish in a massive ocean.    ",44
551,At your earliest convenience,Oboron, Having a girlfriend makes things convenient.Having a girlfriend who could also time travel makes everything convenient.    ,1
552,Breakfast for Three,AlfaWurst," Gura's gone a week without Watson... but when Sunshine comes back home, what unfolds...?    ",1
553,Fall,Somarisu, Was inspired by the comic made by @spacemakii & @IronShiba HereArt by Yohchi HereThis is Ina's reply.    ,1
554,Report on Calliope Mori,Elleipsis," Third report that Amelia was assigned to write, this one being on Calli. Here it is.    ",1
555,We Are The Lights,ZoneTheory," ""What brings you to my lonely little table?""""I just thought… you looked cute and I wanted to get to know you.""Bae and IRyS whirlwind into love and try not to let themselves spin out of control.    ",3
556,A shark-girl piggyback the drunk detective,KagamiWatsuki, ,1
557,Open Air,rinre, There is no body of water around her to prevent her from acting on impulse. Gura just kinda goes for it.    ,1
558,Rarepair Week Ficlets,Nayarune," A loose collection of ficlets for #PolyEnRarePairWeek.Day 1: Courage/Fear (Ame/Mumei)Day 2: Stars/Emptiness (Kronii/Sana)Day 3: Sunrise/Twilight (Callie/Ollie)Day 4: Mountain/Cave (Ame/Hololive English Council (yeah, all of them))Day 5: Dream/Darkness (Ina/Gura)Day 6: Bloom/Wither (Kronii/Fauna)Day 7: Peace/Unrest (Bae/IRyS)    ",7
559,The Night is Waiting for Us,PhoebeGalaxy," Sunflower, along with her sister, ask their moms to go trick-or-treating.    ",1
560,"""But Gura!""",Magetro21, This is for you Amega :kekw: Heavily inspired by my twitter thread with Amega    ,1
561,A shark-girl piggyback the drunk detective,KagamiWatsuki, ,1
562,Just Visiting,AlfaWurst, What could possibly happen when you visit a dear ol' friend on a rainy day?    ,1
563,Some Jewels in London,pilotchiken," In a world without mystical creatures, two thieves perform a series of scams in London and this is just the beginning of a journey in the lives of some unusual people. This is a scenario where many concepts of the Holomyth are freely changed. Where the detective is the thief and the reaper is the law enforcement officer there is also the Atlantean, who is actually the detective.    ",1
564,From Another World Volume 3: More Shenanigans in Another World,Cenonn," With his memory recovered, Mikage is back to his daily life in the new world. And the ""daily life"" included participating a tournament of idol fans, getting involved in a murder case, and taking on a quest.However, Shiroe's warning about the Unkindness made Mikage want to become stronger so he can handle any attack. Luckily, Anya is not just a simple sword that helps in mana management.    ",23
565,Ina'nis Milk,CaptainCaper," While babysitting Walter, Gura accidentally tries something she doesn't care for.    ",1
566,We Are The Lights,ZoneTheory," ""What brings you to my lonely little table?""""I just thought… you looked cute and I wanted to get to know you.""Bae and IRyS whirlwind into love and try not to let themselves spin out of control.    ",3
567,A Cursed Rat,ThomasGreat," The Story of Hakos Baelz, a noblewoman, sold into a life outside of her control by her cousin.    ",3
568,Our Adventure Will Never End,Kamionii," At the end of time, Amelia Watson finds herself standing before Ouro Kronii, who is on the cusp of ending the final timeline in existence. Before fading away, one Amelia from a separate timeline has given her diary away, full of secrets regarding Kronii's perfect plan, to the final universes Myth group, hoping to ensure their survival. Hope, despair, love, lies and betrayal await!    ",9
569,Sunflowers are beautiful.,Magetro21," Gawr Gura, a passionate gardener, was approached by her neighbor that had just moved the day prior. The two talk start a conversation and clicked like a satisfying fidget toy, unbeknownst to Gura though, her neighbor was actually her childhood friend.Flowers are comforting    ",1
570,"Wet in the rain, warm in her hoodie",Magetro21, ,1
571,endless,DonLucky, amelia looks up at the sky.    ,1
572,Medical Professionals,Gl1tch3dOracle," Ina enjoys some silence with her girlfriends. After a tiny kitchen accident, Gura and Amelia unleash their full medical professional powers.    ",1
573,Story Time about past,DammerDoctor," What you will do when you dont wanna go anywhere and just stay at home? Ofcourse drink some tea and eat some sweets.But Kiara wanna know, how Ame Fall in Love with Ina, and this means, there are story time!    ",1
574,Waiting (and Rock Kickin'),Scump_Smallbrain," Gura and Ame have some time to kill. Ame sees this as an opportunity to introduce Gura to a beloved teenage pastime she calls rock kickin'.Also, Gura is in love.    ",1
575,#KiarasBalls,KingMufasa, Amelia decided to investigate a certain situation...    ,1
576,Lost in the Echo,The_Architect_Of_Light," It's Amelia's best shot at survival. So, she does the only thing she can think about in this situation: Time Jump.It was going to have a HUGE set of consequences for everyone involved... Including her close friends.    ",1
577,Zayne//Magetro21's short shots :D,Magetro21, MORE MOOOOOOOOOOOOOREMOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOORE    ,3
578,Watching as my heart grow fonder,RaidGachaSalt, An au if our favorite reaper had been watching over the other HoloEN before Hololive happen.    ,1
579,Heat,ZoneTheory," Being a rat girl had its advantages, cute lil’ tail, adorable ears, pointy teeth. All good things in Bae’s mind. However, going into heat every few months wasn’t something one would expect to be included in the rat girl package.    ",1
580,Knowing a Nephilim,CaptainCaper," Ninomae Ina'nis feels lonely during one movie night, and finds comfort from an unexpected source.    ",1
581,Peafowl Fantasy,Valmariel," Calamity follows a certain Royal Princess to another universe, and threatens to swallow it all.    ",1
582,Knowing a Nephilim,CaptainCaper," Ninomae Ina'nis feels lonely during one movie night, and finds comfort from an unexpected source.    ",1
583,One Last Trick... [Oneshot],Rook_385," Gura wanted to cry. But she had no more to shed. She knew this day would come, and had been coming closer, for nearly her entire life. Since the first time she had met that incredible, blonde, detective. Had the time travel extended their time together, yes, it had. However, there was always an end, that was something Amelia had told her upon their first meeting. Time will always run out in some way shape or form. Which brought her to today. Where Amelia Watson, the world's greatest detective. The human that had kept four of the most powerful mythical beings together. The Human who, no matter what, would never surrender to the endless enemies they had fought, and saved the world with that shit-eating smile on her face. Would be laid to rest.    ",1
584,I'll take anyone on just for you!,Magetro21, Amelia the dork star student and Gura the delinquent transfer studentWhat fate lies upon these two?    ,2
585,Stitches and Scars,Tripsout2 (Azureshadowmoon), Gura and the scars on her tail.    ,1
